Cod_Div,Latitud,Longitud,Regi�n,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Direcci�n del Viento,Presi�n,Punto de Roc�o,Cobertura total nubosa,Precipitaci�n (mm/h),Probabilidad de Tormenta,Humedad,Pron�stico 
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-06,15:00,31.0,4.1,140.0,,,,,,,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-06,16:00,23.2,1.7,338.7,1010.3,16.2,90.0,"[0.0, 0.5, 0.5, 0.5, 0.7, 1.2, 1.5, 1.6, 1.6, 1.6, 1.3, 0.8, 0.5, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.3, 1.0, 0.7, 0.6, 0.8, 0.9, 1.4, 2.0, 1.8, 2.1, 2.0, 1.6, 1.2, 0.9, 0.7, 0.4, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 1.0, 1.2, 1.4, 1.5, 1.7, 1.2, 1.1, 1.0, 1.1, 0.9, 0.4, 0.4, 0.8, 0.7, 0.6, 0.5, 0.0, 0.0, 0.1, 0.1, 0.1, 0.3, 0.5, 1.2, 1.3, 1.4, 1.4, 1.3, 1.1, 1.2, 1.1, 1.1, 1.1, 1.0, 1.1, 0.7]",0.0,65.0,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-06,17:00,22.4,2.0,287.2,1011.2,18.1,100.0,0.5,0.0,76.8,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-06,18:00,21.6,2.2,290.0,1012.5,18.9,100.0,0.5,0.0,84.7,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-06,19:00,20.8,2.0,295.7,1013.5,18.5,100.0,0.7,0.0,86.7,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-06,20:00,19.8,1.4,288.6,1014.4,17.7,100.0,1.2,0.0,87.8,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-06,21:00,19.8,0.9,274.3,1015.1,17.7,100.0,1.5,0.0,87.8,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-06,22:00,19.4,1.1,277.2,1015.6,17.5,100.0,1.6,0.0,88.3,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-06,23:00,19.1,0.9,276.2,1015.6,17.3,100.0,1.6,0.0,89.5,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,00:00,18.5,0.8,277.2,1015.1,16.9,100.0,1.6,0.0,90.3,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,01:00,18.1,0.4,268.6,1014.4,16.7,100.0,1.3,0.0,90.9,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,02:00,17.8,0.2,254.6,1013.8,16.5,100.0,0.8,0.0,92.0,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,03:00,17.6,0.2,214.7,1013.7,16.3,100.0,0.5,0.0,92.3,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,04:00,17.3,0.2,134.7,1013.8,16.2,100.0,0.0,0.0,92.9,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,05:00,17.2,0.5,151.0,1014.3,15.9,100.0,0.0,0.0,92.5,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,06:00,17.2,0.6,156.3,1015.0,16.0,100.0,0.2,0.0,92.4,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,07:00,18.4,0.6,129.6,1015.5,16.7,100.0,0.0,0.0,89.8,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,08:00,19.5,0.8,121.4,1015.7,16.8,92.8,0.0,0.0,84.6,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,09:00,21.7,1.2,107.2,1015.9,17.6,50.0,0.0,0.0,77.7,Parcialmente Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,10:00,24.7,1.0,97.2,1015.4,19.3,50.0,0.0,0.0,71.8,Parcialmente Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,11:00,26.5,1.0,91.4,1014.5,18.2,57.2,0.0,0.0,60.6,Parcialmente Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,12:00,27.6,1.2,81.4,1013.3,17.8,52.8,0.5,0.0,55.4,Parcialmente Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,13:00,28.0,0.7,70.0,1011.8,17.8,52.8,1.3,0.0,53.9,Parcialmente Nublado - Lluvia Fuerte
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,14:00,27.6,0.7,274.2,1010.6,17.3,90.0,1.0,0.0,53.6,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,15:00,26.3,0.9,284.2,1010.2,16.0,91.4,0.7,0.0,53.3,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,16:00,24.9,2.3,298.6,1010.5,18.1,91.4,0.6,0.0,66.1,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,17:00,22.9,2.1,278.6,1011.4,18.1,91.4,0.8,0.0,74.6,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,18:00,20.9,1.8,290.0,1012.4,17.6,100.0,0.9,0.0,81.0,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,19:00,19.9,1.7,300.0,1013.6,17.0,100.0,1.4,0.0,83.0,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,20:00,19.6,1.6,295.7,1014.5,17.1,100.0,2.0,60.0,85.5,Nublado - Tormenta
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,21:00,19.0,1.4,278.6,1015.3,16.8,100.0,1.8,10.0,87.0,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,22:00,18.6,1.0,251.9,1015.3,16.3,100.0,2.1,80.0,86.7,Nublado - Tormenta
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-07,23:00,18.3,0.8,251.9,1015.3,16.2,100.0,2.0,60.0,88.0,Nublado - Tormenta
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,00:00,18.0,0.6,223.3,1015.1,16.2,100.0,1.6,0.0,89.6,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,01:00,17.7,0.4,167.5,1014.5,16.0,100.0,1.2,0.0,90.0,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,02:00,17.4,0.6,322.8,1014.2,16.0,100.0,0.9,0.0,91.0,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,03:00,17.1,0.5,110.7,1013.7,15.7,100.0,0.7,0.0,91.4,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,04:00,16.9,0.5,252.8,1013.8,15.6,100.0,0.4,0.0,92.1,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,05:00,16.7,0.4,108.3,1014.4,15.3,100.0,0.3,0.0,91.9,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,06:00,16.4,0.5,337.5,1015.3,15.2,67.2,0.0,0.0,92.4,Parcialmente Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,07:00,17.6,0.6,84.9,1015.8,15.8,49.5,0.0,0.0,89.6,Parcialmente Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,08:00,19.6,0.9,68.1,1016.2,16.8,33.0,0.0,0.0,84.2,Parcialmente Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,09:00,21.6,1.0,78.1,1016.6,17.4,50.0,0.0,0.0,77.0,Parcialmente Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,10:00,23.8,0.8,77.2,1016.5,17.6,50.0,0.0,0.0,68.4,Parcialmente Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,11:00,25.9,1.2,38.6,1015.5,17.6,50.0,0.0,0.0,60.2,Parcialmente Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,12:00,26.5,1.7,9.1,1014.1,17.1,62.8,0.0,0.0,56.3,Parcialmente Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,13:00,26.8,2.2,349.6,1012.4,18.0,72.8,0.0,0.0,58.4,Parcialmente Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,14:00,26.4,2.3,328.1,1011.0,17.7,100.0,0.6,0.0,58.8,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,15:00,25.6,2.2,310.0,1010.6,17.4,100.0,1.0,0.0,60.7,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,16:00,24.1,3.1,298.6,1011.0,18.3,100.0,1.2,0.0,69.9,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,17:00,21.9,2.3,298.6,1011.9,18.3,100.0,1.4,0.0,80.0,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,18:00,20.0,2.2,280.4,1012.9,17.9,100.0,1.5,0.0,87.7,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,19:00,19.0,1.6,277.6,1014.0,17.3,100.0,1.7,10.0,89.8,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,20:00,18.7,1.0,250.4,1014.9,17.1,100.0,1.2,0.0,90.7,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,21:00,18.5,0.8,290.0,1015.7,16.9,84.3,1.1,0.0,90.3,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,22:00,18.4,0.6,280.8,1016.1,16.9,74.3,1.0,0.0,90.6,Parcialmente Nublado - Lluvia Fuerte
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-08,23:00,18.1,0.9,258.6,1016.3,16.3,64.7,1.1,0.0,89.6,Parcialmente Nublado - Lluvia Fuerte
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,00:00,18.0,0.9,278.6,1015.9,16.3,74.3,0.9,0.0,90.0,Parcialmente Nublado - Lluvia Fuerte
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,01:00,17.6,0.5,257.6,1015.0,16.1,80.0,0.4,0.0,90.9,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,02:00,17.4,0.4,288.7,1014.4,16.1,54.7,0.4,0.0,91.7,Parcialmente Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,03:00,17.6,0.4,33.3,1014.5,16.8,100.0,0.8,0.0,95.3,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,04:00,17.6,0.4,19.0,1014.6,16.8,100.0,0.7,0.0,94.9,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,05:00,17.4,0.2,19.2,1015.1,16.5,100.0,0.6,0.0,94.7,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,06:00,17.0,0.5,55.7,1015.8,16.3,91.4,0.5,0.0,95.3,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,07:00,18.0,0.5,81.4,1016.2,16.9,90.0,0.0,0.0,93.1,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,08:00,19.6,1.1,98.6,1016.4,17.5,35.7,0.0,0.0,87.4,Parcialmente Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,09:00,21.2,1.0,101.4,1017.2,17.9,78.6,0.1,0.0,81.4,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,10:00,23.5,0.9,112.8,1016.9,18.0,82.8,0.1,0.0,71.1,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,11:00,25.5,1.1,93.3,1015.8,17.7,90.0,0.1,0.0,61.9,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,12:00,26.9,0.9,90.5,1014.2,17.4,90.0,0.3,0.0,56.4,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,13:00,26.6,1.4,325.7,1012.6,17.2,80.0,0.5,0.0,56.4,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,14:00,25.5,2.2,298.6,1011.5,17.8,82.8,1.2,0.0,62.2,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,15:00,23.7,3.0,305.7,1010.9,18.0,80.0,1.3,0.0,70.5,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,16:00,22.0,2.6,295.7,1011.1,18.3,80.0,1.4,0.0,79.3,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,17:00,20.8,1.8,316.7,1012.2,17.9,80.0,1.4,0.0,83.8,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,18:00,19.4,1.4,277.2,1013.4,17.1,90.0,1.3,0.0,86.3,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,19:00,18.7,1.8,274.3,1014.6,16.7,84.3,1.1,0.0,87.8,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,20:00,18.6,1.7,264.3,1015.5,16.5,44.7,1.2,0.0,87.9,Parcialmente Nublado - Lluvia Fuerte
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,21:00,18.1,1.2,247.6,1016.3,16.1,34.7,1.1,0.0,88.4,Parcialmente Nublado - Lluvia Fuerte
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,22:00,18.0,1.0,250.0,1016.5,16.0,44.7,1.1,0.0,88.2,Parcialmente Nublado - Lluvia Fuerte
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-09,23:00,18.1,0.5,282.4,1016.1,16.4,84.3,1.1,0.0,89.6,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-10,00:00,18.3,0.7,230.0,1015.5,16.5,84.3,1.0,0.0,89.3,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-10,01:00,17.9,0.6,200.5,1014.7,16.3,84.3,1.1,0.0,90.2,Nublado - Lluvia
76001000,3.414419,-76.52156,,Valle del Cauca,2020-10-10,02:00,17.6,0.5,194.3,1014.2,16.1,100.0,0.7,0.0,90.9,Nublado - Lluvia
